,subjects,9491,9492,9493,9494
0,Привод пр.,1,1,1,1
1,Привод лек.,1,1,1,1
2,Привод лаб.,1,1,1,1
3,ТССУ лек.,1,1,1,1
4,ТССУ пр.,1,1,1,1
5,ТССУ кр.,1,1,1,1
6,ТССУ лаб.,1,1,1,1
7,БЖД лек.,1,1,1,1
8,БЖД пр.,1,1,1,1
9,БЖД лаб.,1,1,1,1
10,АПМСЭЭС лек.,0,0,1,0
11,АПМСЭЭС лаб.,0,0,1,0
12,МССУ (ДВС6) лек.,0,0,0,1
13,МССУ (ДВС6) лаб.,0,0,0,1
14,МССУ (ДВС6) пр.,0,0,0,1
15,ТОУ лек.,1,1,1,1
16,ТОУ лаб.,1,1,1,1
17,СЭЭС лек.,0,0,1,0
18,СЭЭС пр.,0,0,1,0
19,СЭЭС лаб.,0,0,1,0
20,МПТвМиРТ лек.,1,1,0,0
21,МПТвМиРТ лаб.,1,1,0,0
22,МПТвМиРТ пр.,1,1,0,0
23,ФиРИСУК (ДВС8) лек.,0,0,0,1
24,ФиРИСУК (ДВС8) пр.,0,0,0,1
25,ФиРИСУК (ДВС8) лаб.,0,0,0,1
26,СУЭЭУК пр.,0,0,0,1
27,СУЭЭУК лаб.,0,0,0,1
28,СУЭЭУК лек.,0,0,0,1
29,ПЛКиПС лек.,1,1,0,1
30,ПЛКиПС лаб.,1,1,0,1
31,ПЛКиПС пр.,1,1,0,1
32,ТЕХНИЧЕСКОЕ ЗРЕНИЕ лек.,1,1,0,0
33,ТЕХНИЧЕСКОЕ ЗРЕНИЕ лаб.,1,1,0,0
34,ТЕХНИЧЕСКОЕ ЗРЕНИЕ пр.,1,1,0,0
